train:4.042043683909569	 val:3.62882291001766
train:1.292461584554333	 val:1.3640584406398593
train:0.994514009990946	 val:1.0955776027938564
train:1.0096784068339346	 val:1.1165907940193385
train:1.0050046073705876	 val:1.1179779154830287
train:0.8502554872623679	 val:0.9821638557590356
train:0.9060423402141791	 val:1.0382272417054457
train:0.878154542975399	 val:1.0140566741134607
train:0.7687973914360132	 val:0.9174705091811696
train:0.8385281955995479	 val:0.9742822280617989
train:0.7803592972394799	 val:0.9241466959651444
train:0.7126506871076859	 val:0.8697834061223919
train:0.7943345988247575	 val:0.9389974668997676
train:0.7080675266912672	 val:0.861554409943375
train:0.6860360258391925	 val:0.8433249979292979
train:0.7503467012478524	 val:0.8876323693272781
train:0.6467975483012467	 val:0.7974599971323788
train:0.6686019739683937	 val:0.823691922242568
train:0.70348091824215	 val:0.8481659713078614
train:0.6069212083597811	 val:0.772691895731357
train:0.6628248227201924	 val:0.8172024942579723
train:0.6651989310687664	 val:0.8190132634145539
train:0.5804695111988973	 val:0.7622097254801197
train:0.6537280657253012	 val:0.8184531933787156
train:0.6162764134527254	 val:0.7891810211230393
train:0.5611149624657898	 val:0.7589634830126909
train:0.6391348250272895	 val:0.8213309006196778
train:0.5727849547602549	 val:0.7890668233820036
train:0.5562571469767421	 val:0.7872465680293342
train:0.6190962351921225	 val:0.8229252656384343
train:0.5370678972004175	 val:0.784295267668091
train:0.557706318774811	 val:0.8052988431366885
train:0.5925957519425398	 val:0.8238834327175504
train:0.5098685848654485	 val:0.7771522384815189
train:0.5595256673062549	 val:0.8141246545715493
train:0.5649082815321553	 val:0.819745259667311
train:0.4929386982563831	 val:0.7794719148500293
train:0.5617943428018514	 val:0.8315567662235067
train:0.531906760686419	 val:0.8039603161544693
train:0.48520175638903423	 val:0.7875191387759537
train:0.5613268040308431	 val:0.8275508651045524
train:0.5037782198699916	 val:0.7932586413221199
