train:10.342731401532973	 val:9.243142017379862
train:1.7116117374319322	 val:1.7383062725140601
train:1.1225295203740524	 val:1.180091647332122
train:1.0770429745942605	 val:1.1294926234236617
train:1.0461340890545137	 val:1.1146910832125265
train:0.8998704507571309	 val:0.9834669843441298
train:0.9496559989051658	 val:1.0344103009176522
train:0.8916552339364835	 val:0.9782136476674334
train:0.7814201796088232	 val:0.8742598383700481
train:0.8458100761435613	 val:0.9358310008666763
train:0.7795018964454907	 val:0.8717981639946876
train:0.7209501729584208	 val:0.8151343007798956
train:0.7859355184544369	 val:0.8691794764594871
train:0.705743059536823	 val:0.7865419154491077
train:0.6878713314690176	 val:0.7668858461436772
train:0.7343594384710995	 val:0.8078420206027872
train:0.6510233625519175	 val:0.724121279951905
train:0.6625495453884288	 val:0.736034079384403
train:0.6929269177781767	 val:0.7632720864870969
train:0.6063373094888962	 val:0.6783222784431708
train:0.647699685365546	 val:0.7181273871192745
train:0.640476928559505	 val:0.7089195713526061
train:0.5718942649599885	 val:0.6415114930781329
train:0.6269370765120041	 val:0.6937995783003772
train:0.5958148266087059	 val:0.660597384518602
train:0.551358541332874	 val:0.6216465653408141
train:0.610814002715573	 val:0.6768166478358063
train:0.5568151057851749	 val:0.6267883070126301
train:0.5415956055124601	 val:0.6167027569618546
train:0.5882707960298416	 val:0.6572760505502632
train:0.5257593887109383	 val:0.6010861744065913
train:0.5411617059667572	 val:0.617531090766108
train:0.5704718803157326	 val:0.6406726529534791
train:0.5034499264815274	 val:0.5790156879428388
train:0.5406456292301667	 val:0.6127105243399698
train:0.5431732073927126	 val:0.6143806791272151
train:0.4850330701311763	 val:0.5596665747735012
train:0.5357736312374681	 val:0.6049660322796396
train:0.5097536633537263	 val:0.5776117366819489
train:0.4722849183014127	 val:0.5438824674787641
train:0.5258413381060633	 val:0.5919253401646093
train:0.47978684589976356	 val:0.54602096739019
train:0.4681422232705004	 val:0.5348652825594282
train:0.5135339834109074	 val:0.5773808991833895
train:0.4565272865926518	 val:0.5207456645219266
train:0.46976286321043637	 val:0.5345864130251882
train:0.4966369578275694	 val:0.5561343088161712
train:0.439017819068512	 val:0.5030700773710296
train:0.47132338412335606	 val:0.532468986068787
train:0.4777230285629839	 val:0.5390888223586296
train:0.42663655359120595	 val:0.4924349506863025
train:0.47562922842028427	 val:0.5384165603323143
train:0.4533910474815622	 val:0.5163269484159994
train:0.419957139578854	 val:0.4871260102848713
train:0.4713841416046065	 val:0.5339011473148143
train:0.43371576100003484	 val:0.49645216936240344
train:0.41998090094127577	 val:0.48657982022154567
train:0.46402007168164106	 val:0.5255497370113512
train:0.4127008798284357	 val:0.475971910570349
train:0.42447451712871465	 val:0.48917818261461765
train:0.45309230885585816	 val:0.5140407453147637
train:0.3980481844781494	 val:0.46457268508459004
train:0.42952270211041477	 val:0.4952925322603445
train:0.4360805678100479	 val:0.500180801319308
train:0.3891041023181934	 val:0.45855803954668073
train:0.434921547123531	 val:0.49963521137207495
train:0.41932740062475204	 val:0.4838373390775101
train:0.38602909320542794	 val:0.4560003531496732
train:0.43520740077358666	 val:0.5002018727090847
train:0.4013811361764659	 val:0.469883485397204
train:0.3895270647872396	 val:0.459357458023297
train:0.43373220259485457	 val:0.4983288509672095
train:0.38686939103513207	 val:0.4554920582419016
train:0.3984623048611048	 val:0.4661357890532798
train:0.42598450060735565	 val:0.4910883870737559
train:0.37569374616156104	 val:0.44656655724559513
train:0.40450277198262574	 val:0.4730249015765698
train:0.41425706264602036	 val:0.4806893729403907
train:0.36932195364093245	 val:0.43978486566984354
train:0.41108987659883767	 val:0.47918934944797964
train:0.3992014157713628	 val:0.4676155048299904
train:0.36739496347241374	 val:0.4404374441805006
train:0.4157686053621335	 val:0.4844017181159401
train:0.3831479891675527	 val:0.45190913242702724
