train:0.10597220711678747	 val:0.09495456563374054
train:0.013383953326319134	 val:0.013650928680714564
train:0.009393337432488132	 val:0.00961306041135278
train:0.009484219066120413	 val:0.009649450725064474
train:0.009072448846333627	 val:0.00917814126113007
train:0.007461972549330725	 val:0.007628734256806118
train:0.008106921810894181	 val:0.008183961199382608
train:0.007569753211082927	 val:0.007605782050002857
train:0.00656837681197517	 val:0.006718471241953159
train:0.0074335082769341745	 val:0.0074751443847236474
train:0.006660818277221664	 val:0.006764676596992845
train:0.006121528526658521	 val:0.006302994097118639
train:0.006947562624165574	 val:0.007025303914543001
train:0.006052078940078658	 val:0.00618773574304326
train:0.005944832680252555	 val:0.006130927047987028
train:0.006575980445458775	 val:0.006652473778260418
train:0.0056383272392299625	 val:0.0057859454184629715
train:0.005932603666300596	 val:0.006053452289021504
train:0.006230938674866402	 val:0.006325491782961314
train:0.005377965365896518	 val:0.005541243044208182
train:0.00595636663538422	 val:0.006065636759438664
train:0.0059018340372644805	 val:0.005990925201290504
train:0.005245086238869526	 val:0.005412911031661289
train:0.005968734808527038	 val:0.006055037816138599
train:0.005578794811085305	 val:0.0057039408835632
train:0.005218297157029645	 val:0.005388353696270358
train:0.005948663109402154	 val:0.00605236413381232
train:0.005342766541318514	 val:0.005485269199295037
train:0.005271136763972603	 val:0.005440671266257471
train:0.005856525086072542	 val:0.005940175607424824
train:0.005156399486182096	 val:0.00529233996589415
train:0.005396076977639054	 val:0.005517503515039818
train:0.005709672487583481	 val:0.0058063889220383025
train:0.0050311327870499545	 val:0.00520101194569961
train:0.00551192093714263	 val:0.005636366852493931
train:0.005515683546377977	 val:0.005606919602707487
train:0.004984453650346647	 val:0.005143224792907156
train:0.005610289668119108	 val:0.005694692073642936
train:0.005313972863616521	 val:0.005415647554130447
train:0.004981737454742694	 val:0.005147123220507107
train:0.005644631998271731	 val:0.005733178860993132
