train:7.940857790264428	 val:7.6968911498868495
train:1.0536893948036081	 val:1.1291409962567962
train:0.7294211469027174	 val:0.7836510630047956
train:0.7265643027065849	 val:0.7760807365512982
train:0.7024211252228219	 val:0.7516641367633804
train:0.5654065670962093	 val:0.618966557857703
train:0.6054042239441257	 val:0.6541260678310689
train:0.5831234018926194	 val:0.6262005474887976
train:0.4965075872817627	 val:0.5430635352428553
train:0.5583546342176884	 val:0.6009498543891252
train:0.5142686196735927	 val:0.558020966351867
train:0.4666283481887409	 val:0.5127333345449939
train:0.5275284451346437	 val:0.5689392291447696
train:0.4687172381275174	 val:0.5112977819699868
train:0.45574925785639037	 val:0.5006889241124067
train:0.5042352725018641	 val:0.546581241346541
train:0.4387357289842865	 val:0.478551057561272
train:0.45524569976480067	 val:0.4959207208258431
train:0.48289147689312445	 val:0.5225649169262718
train:0.419025601104361	 val:0.4596276005276111
train:0.45701750188398094	 val:0.4970495935832085
train:0.4594781082801792	 val:0.49774267710223585
train:0.4090631718144697	 val:0.4494179761042448
train:0.4602457517836274	 val:0.5000159736065304
train:0.43823022983905646	 val:0.4789613610973545
train:0.4051578422429181	 val:0.4461467233525605
train:0.45623356325118813	 val:0.49520122675167744
train:0.41856166970830005	 val:0.45676061239730076
train:0.40791868163841444	 val:0.4484796735460685
train:0.45125596125085815	 val:0.4898131908822794
train:0.40163474782508296	 val:0.44000246515628005
train:0.4153326843716517	 val:0.45370291403027807
train:0.44188160207174737	 val:0.479761529786914
train:0.391636368294223	 val:0.4294972274275053
train:0.4230461947891225	 val:0.46176661824395343
train:0.42905262183575404	 val:0.46676069512671114
train:0.3865217906879444	 val:0.42544079705530186
train:0.4303561414406747	 val:0.4679647093059636
train:0.41420100303758095	 val:0.45200856188599137
train:0.3863919565991527	 val:0.425079714913829
train:0.43311117180422243	 val:0.4706182175782882
train:0.40075252388789206	 val:0.43773780308183835
train:0.39221479914852886	 val:0.4304903200318833
train:0.43150201955345835	 val:0.4664821592198701
train:0.38920642295721863	 val:0.4247513233321388
train:0.4000276803803377	 val:0.4361837949572491
train:0.4248563291437152	 val:0.4588921215145194
train:0.3812712261072394	 val:0.4180973847540153
train:0.40877145537141324	 val:0.4442988445027536
train:0.4165245839277235	 val:0.4491420365890869
train:0.3773733594504391	 val:0.41475738852130933
train:0.41683390333789405	 val:0.4502420133444108
train:0.40372393660101236	 val:0.4391103861044769
train:0.37827370103959945	 val:0.4149233134103422
train:0.4200878032073587	 val:0.4532074677217908
train:0.3923746839123948	 val:0.42516654573318335
train:0.38364944694673314	 val:0.4195915568484312
train:0.42051203642823115	 val:0.4546291127550502
train:0.3824343541297926	 val:0.4170781183434802
