train:5721766.505464612	 val:3286402.851734105
train:16653.713024892186	 val:2486.3459440348806
train:38.26982483421547	 val:22.422829898474873
train:28.215083906754202	 val:17.46452035268148
train:25.187744876543682	 val:15.85808664004008
train:23.664705070930978	 val:14.884218747512154
train:23.270056494318922	 val:14.59408785522848
train:21.962187054951986	 val:14.485415743883106
train:19.413040684928063	 val:13.155046094535054
train:18.600055200708084	 val:15.43579445493394
train:18.542402158336362	 val:13.172094560084135
