train:1.304649255802234	 val:1.2501683203776677
train:0.3957205336987972	 val:0.40136409243941307
train:0.3108533478130897	 val:0.31711057528853415
train:0.29444228289524715	 val:0.2951613714893659
train:0.26899492035309475	 val:0.2691524760524432
train:0.23323639896512033	 val:0.2346716033766667
train:0.22457606580853462	 val:0.22509291087090968
train:0.227920639321208	 val:0.22640455519159636
train:0.22107375409205754	 val:0.21832535477479298
train:0.20843735535939534	 val:0.2057388958434264
train:0.204548998311162	 val:0.20215753298501174
train:0.2113457254320383	 val:0.20974869514008362
train:0.20740440119306247	 val:0.20561894729236763
train:0.19693745395789544	 val:0.19583036405344803
train:0.19610789307455223	 val:0.19448672574261824
train:0.20240215655167898	 val:0.20136146146555742
train:0.19985844600449007	 val:0.19938761453330517
train:0.190167164777716	 val:0.18850335596005122
