train:1.8365047599673272	 val:1.9153663190702597
train:0.4004196198284626	 val:0.402342315385739
train:0.2312278626461824	 val:0.25004830659925936
train:0.15620171256611745	 val:0.1710814307356874
train:0.11983869130288562	 val:0.131882281926771
train:0.0937283826644222	 val:0.0997128437658151
train:0.07832465421284239	 val:0.08366599192470311
train:0.07286965892774364	 val:0.07639779156818986
train:0.06341565488340954	 val:0.06655680176615715
train:0.05128133932532122	 val:0.05482056133945783
train:0.04755041591792057	 val:0.05113739881043633
train:0.04928720299061388	 val:0.05396599243581295
train:0.04571222842733065	 val:0.050607965651899574
train:0.038679111859140296	 val:0.04458721323435505
train:0.037033644922388094	 val:0.04366297756011287
train:0.03887105379564067	 val:0.04608919462623696
train:0.03682599740289152	 val:0.04392622066351275
train:0.03149836998619139	 val:0.03810306221619248
train:0.031569912542123345	 val:0.037803311242411534
train:0.034142571191613874	 val:0.04030939331650734
train:0.032171529134425024	 val:0.03830140731297434
train:0.02747401479445398	 val:0.03361456264555454
train:0.02717839275098716	 val:0.03305759521325429
train:0.02984257129766047	 val:0.035380626571364704
train:0.028873331810813398	 val:0.03447157100401819
train:0.025091034992132336	 val:0.03019671892374754
train:0.024652546767611055	 val:0.029806975414355594
train:0.026987048176117242	 val:0.03206709858154257
train:0.02626748619771873	 val:0.03139265544898808
train:0.022798997625242918	 val:0.028011748420074582
