train:0.008319982052470247	 val:0.008551097453649466
train:0.0035144629258817683	 val:0.003429976593547811
train:0.0031946084217246	 val:0.003098966494125004
train:0.0031576536267530174	 val:0.003066353877385457
train:0.003066280526574701	 val:0.00297268878435716
train:0.0029296484096363808	 val:0.002831575391658892
train:0.0028741476462455467	 val:0.002765328247876217
train:0.0029223334080694862	 val:0.0028080494242409865
train:0.00289099778009889	 val:0.0027784673147058735
train:0.0028206390905737254	 val:0.0027074418957345188
train:0.00278939080319833	 val:0.002668649861433854
train:0.00282088420043389	 val:0.0027005519922822714
train:0.002802095239516348	 val:0.002677798800015201
train:0.0027490168099369235	 val:0.00262424368209516
train:0.0027421324687311424	 val:0.0026152157105971126
train:0.0027780000671433908	 val:0.002654448508595427
train:0.002770397391286679	 val:0.0026437087630232173
train:0.0027291465431141357	 val:0.0025922541711479426
train:0.002719585731315116	 val:0.00258543341094628
