train:0.5842958309749762	 val:0.607735172683994
train:0.23338253698249659	 val:0.22958098747829597
train:0.21047504574805498	 val:0.2069587220797936
train:0.20531673670311767	 val:0.20083519706626732
train:0.19734211693207424	 val:0.19271142338216304
train:0.18839805287619432	 val:0.18290320045749348
train:0.18537642896920442	 val:0.18064061863223713
train:0.1875567713479201	 val:0.18250192583103975
train:0.1846596504325668	 val:0.1792277530779441
train:0.17965961039811373	 val:0.17369004843135674
train:0.1784404428700606	 val:0.17195748761296273
train:0.1807185476521651	 val:0.17376000713308654
train:0.17920242038369177	 val:0.17207527965307234
train:0.1753142997175455	 val:0.16742188341915606
train:0.17486084177096684	 val:0.1666001625855764
train:0.17676764248559873	 val:0.16869418765604496
train:0.17632620221624773	 val:0.16790420816838741
train:0.17344363201161225	 val:0.16460857152442138
train:0.17339343240857125	 val:0.1646012977808714
train:0.17534918057670196	 val:0.16695077339808145
train:0.174412037546436	 val:0.16543686489760875
train:0.172120213650167	 val:0.16332561100522677
train:0.17211262455085913	 val:0.16293050739665826
train:0.17425220539420844	 val:0.16555585437019665
train:0.1735954070885976	 val:0.16470705918471018
train:0.17113850451509158	 val:0.1620170346001784
